Component 1,Component 2,labels,Provincia
20.854141,-8.516824,0,Ancona
-42.555355,-10.263608,2,Aosta
-27.992678,-14.7135,2,Arezzo
-42.18266,-8.2851715,2,Ascoli Piceno
19.548487,-6.3878098,0,Asti
28.89087,-4.083384,0,Avellino
-52.544624,12.270422,2,Belluno
35.857853,24.595623,1,Benevento
33.37606,34.441612,1,Bergamo
16.029715,-12.709758,0,Biella
-18.82239,16.838484,2,Bologna
14.234516,-42.779995,0,Bolzano
34.20524,31.311876,1,Brescia
-0.47580737,49.830513,1,Caserta
-55.12823,15.963331,2,Cosenza
35.185265,27.195236,1,Cremona
2.5974665,0.26659185,0,Crotone
17.043104,-19.375093,0,Cuneo
12.095367,-24.717047,0,Ferrara
2.1434183,4.51132,0,Firenze
19.707212,-20.450396,0,Forli'-Cesena
-2.2415981,50.876827,1,Frosinone
5.0820866,4.4358873,0,Genova
-56.03856,-4.074603,2,Grosseto
-43.784393,-13.14018,2,La Spezia
11.422561,-10.661195,0,Latina
-43.681705,-17.169422,2,Lecce
0.2183009,44.870075,1,Lecco
-54.49356,-3.7900298,2,Livorno
12.835304,40.267265,1,Lodi
-56.06052,17.42449,2,Macerata
11.25116,40.690647,1,Mantova
35.423073,44.91666,1,Milano
27.095234,30.027143,1,Modena
36.297215,46.03037,1,Monza e della Brianza
26.841404,-5.4918437,0,Napoli
8.714567,18.262218,1,Novara
4.2573595,46.973625,1,Padova
17.322655,-11.806718,0,Parma
18.624918,-41.462246,0,Perugia
-21.351898,19.389442,2,Pesaro e Urbino
6.488817,-30.168407,0,Piacenza
16.078869,-40.565994,0,Pisa
39.505104,32.96633,1,Pistoia
10.739075,-28.09634,0,Pordenone
7.030195,16.765053,1,Prato
8.070925,-28.539192,0,Ravenna
-47.20072,-15.654099,2,Reggio di Calabria
12.155698,-20.51494,0,Reggio nell'Emilia
-54.084015,14.326534,2,Rieti
21.76515,-21.624207,0,Rimini
5.6701493,16.208822,1,Roma
24.154985,-7.326152,0,Rovigo
-20.293257,18.298021,2,Salerno
-26.40834,-14.787597,2,Savona
11.5029545,-30.95032,0,Sondrio
-44.549316,-14.839172,2,Taranto
16.069021,-38.894257,0,Terni
6.7502375,48.192078,1,Torino
9.65732,-9.720156,0,Trento
8.518328,40.715874,1,Treviso
2.7482934,1.8498251,0,Trieste
-24.164482,-14.873702,2,Udine
32.4928,31.053522,1,Varese
37.123234,31.994576,1,Venezia
12.682762,-22.962374,0,Vercelli
29.700533,30.64268,1,Verona
2.3627524,46.93909,1,Vicenza
-56.20083,-1.8728703,2,Viterbo
