Component 1,Component 2,labels,Regione
-112.19528,13.167615,Fair,Calabria
106.563095,-5.0657067,Moderate,Campania
10.318046,-4.240065,Moderate,Emilia-Romagna
-47.7679,-9.440425,Fair,Friuli Venezia Giulia
-9.9022875,2.0769925,Fair,Lazio
-64.810394,-18.75967,Fair,Liguria
123.47245,-5.1955323,Poor,Lombardia
0.33719015,32.34259,Fair,Marche
135.61847,-5.2123713,Moderate,Piemonte
-118.114044,2.9830527,Fair,Puglia
-6.1332836,19.822351,Fair,Toscana
-22.552324,-26.800076,Fair,Trentino-Alto Adige
-22.38453,-7.120775,Fair,Umbria
-69.29315,-3.8073215,Fair,Valle d'Aosta
151.17387,-5.0846343,Poor,Veneto
