Regione,Provincia,Lon,Lat,media_yy
Piemonte,Torino,7.6491,45.0249,29.0
Piemonte,Asti,8.3103,44.808,21.0
Valle d'Aosta,Aosta,7.32417,45.73583,15.0
Lombardia,Varese,9.024167,45.626944,29.0
Lombardia,Varese,8.820278,45.816944,26.0
Lombardia,Sondrio,9.88028,46.16861,22.0
Lombardia,Milano,9.23583,45.47833,25.0
Lombardia,Bergamo,9.643889,45.690278,27.0
Lombardia,Bergamo,9.466667,45.683333,27.0
Lombardia,Bergamo,9.556389,45.4975,31.0
Lombardia,Bergamo,9.71527777777778,45.6855555555556,26.0
Lombardia,Brescia,10.219444,45.515278,31.0
Lombardia,Brescia,10.1775,45.873889,32.0
Lombardia,Pavia,8.74444444444444,45.2538888888889,23.0
Lombardia,Pavia,8.915,45.040833,19.0
Lombardia,Mantova,10.795556,45.160556,28.0
Lombardia,Mantova,10.69194,45.41083,26.0
Lombardia,Mantova,11.07083,44.99694,24.0
Lombardia,Mantova,11.20444,45.05139,26.0
Lombardia,Lecco,9.395833,45.849444,20.0
Lombardia,Lecco,9.40619194,45.69795956,28.0
Lombardia,Lodi,9.485556,45.305278,25.0
Lombardia,Lodi,9.49528589,45.30278678,27.0
Lombardia,Lodi,9.62222222222222,45.2511111111111,27.0
Lombardia,Monza e della Brianza,9.27444,45.58111,33.0
Trentino-Alto Adige,Bolzano,11.34183,46.48231,14.0
Trentino-Alto Adige,Bolzano,11.33997,46.49547,15.0
Trentino-Alto Adige,Bolzano,11.22711,46.26733,17.0
Trentino-Alto Adige,Bolzano,10.85906,46.61947,16.0
Trentino-Alto Adige,Bolzano,11.34014,46.43483,17.0
Trentino-Alto Adige,Bolzano,11.16163,46.662,17.0
Trentino-Alto Adige,Bolzano,11.17,46.6475,11.0
Trentino-Alto Adige,Bolzano,11.43317,46.58967,8.0
Trentino-Alto Adige,Bolzano,11.2752777777778,46.3308333333333,16.0
Trentino-Alto Adige,Bolzano,11.62111,46.67917,16.0
Trentino-Alto Adige,Trento,11.11343,46.19684,15.0
Trentino-Alto Adige,Trento,11.1262,46.06293,17.0
Trentino-Alto Adige,Trento,11.11023,46.10434,16.0
Veneto,Verona,10.91222,45.4625,24.0
Veneto,Vicenza,11.736667,45.760833,21.0
Veneto,Vicenza,11.539722,45.560556,29.0
Veneto,Belluno,12.216944,46.141389,19.0
Veneto,Belluno,11.905833,46.030833,24.0
Veneto,Treviso,12.238611,45.6725,41.0
Veneto,Venezia,12.591667,45.630278,22.0
