Component 1,Component 2,labels,Regione
165.49297,20.505856,2,Calabria
-121.01108,-263.80087,1,Campania
-48.47294,-134.3481,1,Emilia-Romagna
39.514874,-39.431465,0,Friuli Venezia Giulia
13.278719,-145.13913,1,Lazio
38.814034,-0.5861506,0,Liguria
-90.31665,-242.42549,1,Lombardia
-3.4760675,-77.420586,0,Marche
-59.735348,-176.59114,1,Piemonte
156.17932,-3.6971278,2,Puglia
-22.594784,-94.84997,0,Toscana
-95.587036,-40.228615,0,Trentino-Alto Adige
-66.75404,-61.700867,0,Umbria
82.5427,-25.49892,2,Valle d'Aosta
-78.63145,-210.32765,1,Veneto
