Component 1,Component 2,labels
56.146423,4.3877974,Poor
38.912373,8.315865,Moderate
50.51187,9.953376,Poor
43.7077,9.247965,Poor
59.236946,4.2745996,Poor
36.00455,8.50996,Moderate
21.745226,-2.7857752,Fair
30.431625,3.4534235,Moderate
24.350555,10.62946,Fair
19.996243,21.984913,Moderate
13.658402,8.598759,Moderate
18.607134,14.108764,Moderate
20.904182,18.076748,Moderate
30.76487,12.876595,Moderate
18.487898,-5.489288,Fair
30.88146,12.737405,Moderate
23.370087,-3.97687,Moderate
37.698284,14.925162,Moderate
2.839774,17.246557,Fair
14.401912,-6.418063,Fair
18.121172,0.34683853,Fair
-3.2392788,1.3564442,Fair
4.642863,18.60157,Fair
51.544544,-3.294014,Poor
26.49985,-8.085186,Moderate
59.744984,8.233333,Poor
42.815777,11.098421,Poor
55.57053,0.030558331,Poor
35.23632,-2.412081,Fair
29.850538,2.9032795,Moderate
14.542971,-7.8358197,Fair
13.004178,-4.5328507,Fair
43.4805,-5.6517563,Moderate
48.985863,-9.666868,Moderate
63.086304,-0.9770445,Poor
53.297268,-2.2848294,Moderate
60.644436,1.5210717,Poor
37.58919,5.413694,Moderate
38.566402,-11.37529,Fair
27.090025,6.1144333,Fair
25.39563,4.548422,Fair
32.315266,16.123209,Fair
64.0426,-0.275143,Poor
51.226185,-8.194948,Moderate
60.627056,1.9104118,Poor
59.093987,-1.1751775,Poor
61.99265,-0.15827005,Poor
39.558968,-11.430051,Moderate
35.784847,9.347565,Moderate
26.302605,-17.522234,Fair
29.82576,16.679703,Moderate
21.795067,15.980524,Moderate
0.55610704,23.264614,Fair
-1.1059518,1.2102164,Fair
-16.568909,-16.065935,Fair
7.3931828,-2.5730488,Fair
1.9067621,-13.195109,Fair
6.8074613,-0.6466834,Fair
-3.7767334,-15.464515,Fair
-3.9637837,-15.935568,Fair
-32.24986,-15.750183,Fair
-31.219568,-14.466336,Fair
-18.96099,0.7847412,Fair
31.54363,10.393248,Moderate
22.483967,11.895446,Moderate
48.040966,13.761206,Poor
16.881365,0.6093751,Fair
44.00409,20.846193,Moderate
12.284661,-8.7051735,Fair
13.742138,2.1626625,Fair
8.439129,3.8266623,Fair
-8.107105,-1.2728477,Fair
-12.317049,22.394009,Fair
52.293556,-7.639493,Poor
52.041656,-4.942192,Moderate
34.37222,-22.06497,Fair
34.237324,-26.465082,Fair
37.782253,-9.261276,Fair
22.272226,-6.658465,Fair
35.646694,5.9804196,Moderate
18.568039,-9.172263,Fair
17.913168,-8.479121,Fair
14.395654,-9.764885,Fair
18.643402,-0.23001121,Fair
4.253837,23.48335,Moderate
4.418799,23.358826,Fair
-18.831018,-4.659085,Fair
-14.161054,-6.072433,Fair
-4.3468137,21.15969,Fair
-4.06512,20.678043,Fair
-1.26794,22.675385,Fair
-13.380536,-5.386377,Fair
-25.416769,-3.376205,Fair
-24.688335,3.1700842,Fair
-25.410017,11.499871,Fair
-25.43595,12.12133,Fair
19.618357,14.849561,Moderate
18.905178,12.773853,Fair
18.880178,16.71038,Fair
-9.337726,19.702818,Fair
1.1804243,23.614182,Moderate
0.52143836,29.254658,Moderate
-0.3998106,28.81258,Moderate
-0.37983012,27.459715,Fair
-12.013348,23.276073,Fair
1.0647141,26.934544,Moderate
-10.049161,23.99548,Fair
-0.37578523,27.682114,Moderate
-11.711215,23.208933,Fair
-29.039167,9.576739,Fair
-30.518614,16.824972,Fair
-30.893625,16.427809,Fair
-31.537004,17.240124,Fair
50.999542,6.7129693,Poor
45.184437,20.292017,Moderate
42.356148,20.780027,Moderate
13.737975,20.795765,Moderate
59.45553,2.7886999,Poor
35.610073,15.263068,Moderate
26.576906,8.68687,Fair
19.79613,15.747113,Moderate
18.204704,20.187084,Fair
18.81536,18.16699,Fair
-59.635956,4.9593487,Fair
-54.430008,-0.88830477,Fair
-54.076355,-0.31278172,Fair
-54.266296,-3.6407938,Fair
-61.39317,9.698477,Fair
-59.310238,5.50921,Fair
-64.93562,8.570059,Fair
-65.05479,8.893062,Fair
-63.08593,5.3940387,Fair
-63.909218,8.61056,Fair
-14.918033,-16.192911,Fair
-18.571192,-19.36167,Fair
27.580997,-24.847107,Fair
2.4102135,-20.74176,Fair
-7.96118,-4.278056,Fair
-17.60035,-17.548094,Fair
-25.290117,-18.713238,Fair
-25.70687,-15.038987,Fair
-32.791946,-18.023766,Fair
-29.657803,1.8410177,Fair
-25.507816,3.1213362,Fair
-19.338848,-22.726171,Fair
-21.312029,-21.539001,Fair
-25.893074,1.3197955,Fair
-26.147682,-17.699951,Fair
-35.430885,0.8826261,Fair
-42.36767,-15.232276,Fair
-51.23519,-8.995353,Fair
-50.59837,-8.668118,Fair
-55.206306,-1.8177654,Fair
12.788421,-5.572715,Fair
21.333508,4.895421,Fair
9.0073,-11.464323,Fair
0.4238627,-14.90206,Fair
6.768762,-1.6690979,Fair
-4.8060346,-11.563901,Fair
38.842255,23.616892,Poor
-16.974073,-23.172272,Fair
-20.519272,-21.334837,Fair
-18.863062,-18.224154,Fair
-16.980112,-23.66441,Fair
-14.617477,-23.229229,Fair
-17.771639,-24.014599,Fair
-22.873154,-20.799826,Fair
-26.333038,-18.230759,Fair
-25.574926,-16.270105,Fair
-20.801592,-14.693317,Fair
41.96982,-16.300497,Fair
25.649801,-18.642876,Fair
31.737942,-21.51406,Fair
24.775394,-22.779408,Fair
24.075245,-21.910257,Fair
27.508707,-22.646074,Fair
10.180221,-25.137514,Fair
11.531486,-27.342644,Fair
9.438654,-26.678644,Fair
-11.384376,-22.84142,Fair
-15.753559,-23.15506,Fair
-11.181384,-24.33725,Fair
-18.235603,-22.6678,Fair
-21.125494,-21.999191,Fair
-19.83322,-20.78604,Fair
-18.998018,-21.171923,Fair
-20.180975,-17.50576,Fair
-13.27318,-22.810486,Fair
-15.259902,-22.378048,Fair
-13.618031,-22.864883,Fair
-18.32475,-21.27463,Fair
-23.016523,-19.996534,Fair
-18.556793,-19.779491,Fair
-17.941484,-18.49509,Fair
-19.58916,-17.255636,Fair
68.198944,-0.4869094,Poor
68.37875,0.12533394,Poor
59.166508,3.0149794,Poor
63.50093,6.298397,Poor
56.865284,11.786965,Poor
63.473614,10.083568,Poor
55.334446,4.5044036,Poor
49.079975,-8.592509,Moderate
40.003613,-9.881407,Moderate
51.8254,-6.669948,Moderate
51.777275,-4.456632,Moderate
50.633076,-7.3756433,Moderate
36.85017,-12.979056,Fair
28.120358,-14.583582,Fair
25.082594,9.377913,Fair
