Regione,Provincia,Lon,Lat,media_yy
Piemonte,Torino,7.5602,45.1758,55.0
Piemonte,Torino,7.5496,45.0069,49.0
Piemonte,Torino,7.648888889,45.02472222,43.0
Piemonte,Torino,7.6362,44.9513,40.0
Piemonte,Vercelli,8.2835,45.7132,53.0
Piemonte,Novara,8.6206,45.4383,51.0
Piemonte,Cuneo,8.0333,44.7037,50.0
Piemonte,Cuneo,7.5382,44.3818,60.0
Piemonte,Cuneo,8.1695,44.4122,62.0
Piemonte,Asti,8.2055,44.9089,42.0
Piemonte,Asti,7.940833333,45.0175,63.0
Piemonte,Biella,8.0564,45.5588,63.0
Piemonte,Biella,8.1876,45.569,51.0
Piemonte,Verbano-Cusio-Ossola,8.268888889,46.01194444,63.0
Valle d'Aosta,Aosta,7.29889,45.73028,51.0
Valle d'Aosta,Aosta,7.32417,45.73583,49.0
Valle d'Aosta,Aosta,7.76643,45.5966,48.0
Valle d'Aosta,Aosta,6.97778,45.72917,67.0
Lombardia,Varese,9.024167,45.626944,41.0
Lombardia,Varese,8.80417,45.83611,59.0
Lombardia,Como,9.224444444,45.81055556,52.0
Lombardia,Sondrio,10.3725,46.470278,69.0
Lombardia,Milano,8.84861,45.54667,63.0
Lombardia,Milano,9.081111111,45.54277778,33.0
Lombardia,Milano,9.172222222,45.54166667,45.0
Lombardia,Milano,8.8925,45.4675,34.0
Lombardia,Milano,9.222222222,45.4725,28.0
Lombardia,Milano,9.247777778,45.49888889,41.0
Lombardia,Milano,8.989444,45.282778,49.0
Lombardia,Milano,9.3275,45.482778,33.0
Lombardia,Milano,9.506388889,45.61722222,58.0
Lombardia,Bergamo,9.689166667,45.71111111,40.0
Lombardia,Brescia,10.216111,45.506944,41.0
Lombardia,Brescia,10.299444,45.248889,59.0
Lombardia,Brescia,10.480833,45.463333,56.0
Lombardia,Brescia,10.20083,45.655,55.0
Lombardia,Pavia,9.164722,45.193889,42.0
Lombardia,Cremona,10.007222,45.279167,47.0
Lombardia,Cremona,9.705,45.36722,46.0
Lombardia,Mantova,10.82417,45.15722,50.0
Lombardia,Mantova,10.74277778,45.2075,36.0
Lombardia,Lecco,9.385,46.137222,49.0
Lombardia,Lecco,9.285555556,46.00861111,67.0
Lombardia,Monza e della Brianza,9.15694,45.66083,42.0
Trentino-Alto Adige,Bolzano,11.34222222,46.5,45.0
Trentino-Alto Adige,Bolzano,11.65408,46.71492,36.0
Trentino-Alto Adige,Bolzano,11.94403,46.79735,37.0
Trentino-Alto Adige,Bolzano,10.85906,46.61947,46.0
Trentino-Alto Adige,Bolzano,11.34014,46.43483,13.0
Trentino-Alto Adige,Bolzano,11.16163,46.662,39.0
Trentino-Alto Adige,Bolzano,11.17,46.6475,31.0
Trentino-Alto Adige,Bolzano,11.43317,46.58967,95.0
Trentino-Alto Adige,Bolzano,11.20916667,46.24972222,39.0
Trentino-Alto Adige,Bolzano,11.27527778,46.33083333,4.0
Trentino-Alto Adige,Bolzano,11.42583333,46.89472222,37.0
Trentino-Alto Adige,Bolzano,11.62111,46.67917,13.0
Trentino-Alto Adige,Trento,11.45389,46.05184,42.0
Trentino-Alto Adige,Trento,10.84449,45.89147,41.0
Trentino-Alto Adige,Trento,11.03941,45.89244,42.0
Trentino-Alto Adige,Trento,11.12083333,46.1975,45.0
Trentino-Alto Adige,Trento,11.105,46.06861111,38.0
Trentino-Alto Adige,Trento,11.1262,46.06293,53.0
Trentino-Alto Adige,Trento,10.95804,46.08253,82.0
Veneto,Verona,10.91222,45.4625,42.0
Veneto,Belluno,12.216944,46.141389,49.0
Veneto,Treviso,12.238611,45.6725,31.0
Veneto,Venezia,12.313889,45.429444,44.0
Veneto,Venezia,12.262222,45.499167,37.0
Veneto,Padova,11.88916667,45.42972222,49.0
Veneto,Padova,11.841944,45.371944,62.0
Veneto,Rovigo,11.78333,45.07472,43.0
Friuli Venezia Giulia,Udine,13.10777778,45.67611111,53.0
Friuli Venezia Giulia,Udine,13.06689,46.22101,50.0
Friuli Venezia Giulia,Udine,12.93167,46.50722,86.0
Friuli Venezia Giulia,Udine,13.21555556,45.81333333,59.0
Friuli Venezia Giulia,Udine,13.393333,45.973333,61.0
Friuli Venezia Giulia,Udine,13.58527778,46.11861111,68.0
Friuli Venezia Giulia,Udine,13.57694444,46.50333333,47.0
Friuli Venezia Giulia,Udine,13.011111,46.401944,52.0
Friuli Venezia Giulia,Udine,13.275,45.81944444,51.0
Friuli Venezia Giulia,Udine,13.23722222,46.05944444,39.0
Friuli Venezia Giulia,Udine,13.24069,46.06612,58.0
Friuli Venezia Giulia,Udine,13.2253,46.0351,51.0
Friuli Venezia Giulia,Udine,13.15083333,46.36777778,53.0
Friuli Venezia Giulia,Gorizia,13.544722,45.843889,48.0
Friuli Venezia Giulia,Gorizia,13.57222222,45.93111111,26.0
Friuli Venezia Giulia,Gorizia,13.616127,45.936478,50.0
Friuli Venezia Giulia,Gorizia,13.528889,45.81,62.0
Friuli Venezia Giulia,Trieste,13.79451,45.61874,69.0
Friuli Venezia Giulia,Trieste,13.77222,45.65722,45.0
Friuli Venezia Giulia,Trieste,13.78138889,45.65305556,38.0
