Lon,Lat,media_yy
7.658,45.1546,46.0
7.2454,45.4302,83.0
7.8375,45.0028,52.0
7.5602,45.1758,48.0
7.878,45.4512,51.0
7.7116,45.1763,38.0
7.5496,45.0069,54.0
7.0501,45.1391,66.0
7.6259,45.0419,42.0
7.6491,45.0249,39.0
7.6362,44.9513,43.0
8.2835,45.7132,46.0
8.4024,45.3189,41.0
8.6206,45.4383,43.0
8.0333,44.7037,43.0
7.5382,44.3818,65.0
8.1695,44.4122,50.0
8.2055,44.9089,45.0
8.3103,44.808,67.0
8.6232,44.9203,45.0
9.0524,44.7633,83.0
8.0564,45.5588,53.0
8.1876,45.569,54.0
8.1598,45.6642,62.0
8.2559,46.3148,80.0
8.5655,45.9303,55.0
7.29889,45.73028,52.0
7.32417,45.73583,56.0
7.30433,45.73444,54.0
7.76643,45.5966,60.0
6.97778,45.72917,85.0
8.83449244,45.58288714,49.0
8.75,45.61667,52.0
9.024167,45.626944,49.0
8.80417,45.83611,64.0
9.12583,45.72722,57.0
9.222778,45.809444,66.0
10.3725,46.470278,67.0
9.56639,46.13167,58.0
9.88028,46.16861,44.0
8.84861,45.54667,51.0
9.16698,45.5476,49.0
9.23583,45.47833,48.0
8.989444,45.282778,52.0
9.3275,45.482778,43.0
9.643889,45.690278,54.0
9.466667,45.683333,59.0
9.556389,45.4975,41.0
9.6115435,45.62058256,54.0
10.219444,45.515278,48.0
10.1775,45.873889,46.0
10.299444,45.248889,49.0
10.480833,45.463333,50.0
10.20083,45.655,50.0
8.875,45.114444,51.0
8.86889,45.06833,52.0
9.164722,45.193889,45.0
9.009444,45.000278,49.0
8.915,45.040833,48.0
10.007222,45.279167,44.0
9.705,45.36722,46.0
10.045833,45.142222,44.0
9.940278,45.148333,48.0
10.795556,45.160556,55.0
10.69194,45.41083,49.0
11.07083,44.99694,53.0
10.5172,44.92467,46.0
9.385,46.137222,50.0
9.395833,45.849444,62.0
9.496944,45.913056,95.0
9.286111,46.015833,67.0
9.34889,45.84083,59.0
9.58611,45.30861,50.0
9.66694,45.235,51.0
9.49528589,45.30278678,48.0
9.27444,45.58111,51.0
9.27611,45.60222,49.0
11.34197,46.49917,46.0
11.94403,46.79735,40.0
11.22711,46.26733,44.0
11.34014,46.43483,44.0
11.43317,46.58967,95.0
11.45389,46.05184,43.0
11.11343,46.19684,49.0
10.84449,45.89147,52.0
11.1262,46.06293,47.0
10.95804,46.08253,97.0
11.03778,45.59,85.0
11.311389,45.183611,53.0
11.28611,45.4,49.0
11.030096,45.43301,50.0
11.569167,45.848333,98.0
11.736667,45.760833,58.0
11.368611,45.714444,63.0
11.539722,45.560556,44.0
11.521944,45.531944,40.0
12.216944,46.141389,48.0
11.905833,46.030833,39.0
12.360833,46.1625,68.0
12.308056,45.890556,49.0
12.510278,45.836944,44.0
12.238611,45.6725,41.0
12.591667,45.630278,44.0
12.313889,45.429444,59.0
12.262222,45.499167,46.0
11.643056,45.29,61.0
11.665833,45.226667,51.0
11.841944,45.371944,43.0
11.902222,45.600278,44.0
12.06194,45.04667,48.0
11.553333,45.103889,50.0
11.791111,45.039722,52.0
13.30197,45.84208,54.0
13.47479,46.51005,52.0
12.93167,46.50722,78.0
13.393333,45.973333,59.0
13.011111,46.401944,59.0
13.2714,45.82199,59.0
13.26213,45.81078,63.0
13.24069,46.06612,56.0
13.2253,46.0351,55.0
13.42333,45.79944,49.0
13.544722,45.843889,75.0
13.54308,45.84299,69.0
13.48636,45.73162,61.0
13.54163,45.72765,74.0
13.52205,45.80518,56.0
13.50112,45.83643,54.0
13.7875,45.623056,64.0
13.85497,45.64731,71.0
12.9259,45.85693,57.0
12.61871,45.95767,51.0
8.20604,44.39703,55.0
8.43169,44.28709,63.0
8.48542,44.31538,75.0
8.92737,44.41816,73.0
8.94101,44.40759,82.0
8.99154,44.39489,69.0
8.79768,44.4284,80.0
9.18487,44.56468,91.0
9.89769,44.18309,74.0
9.84394,44.11603,44.0
9.79871,44.12365,66.0
10.019167,44.989444,44.0
9.36693,44.73473,71.0
9.83028,44.82389,61.0
9.669167,45.038333,45.0
10.370833,44.926111,46.0
10.288889,44.6575,64.0
10.33167,44.79361,52.0
10.733889,44.516111,58.0
10.663889,44.873056,49.0
10.664722,44.690833,44.0
10.430278,44.299722,80.0
10.88365,44.79943,45.0
11.17795,44.92784,53.0
10.90633,44.65061,48.0
10.79139,44.53944,53.0
11.355,44.48333,48.0
11.286111,44.5,41.0
11.639444,44.662222,44.0
10.926111,44.15,59.0
11.299722,44.738333,52.0
11.649722,44.825,52.0
11.961111,44.839722,53.0
11.942222,44.741667,56.0
11.981381,44.526485,41.0
12.332222,44.283889,56.0
11.873396,44.285612,51.0
12.225556,44.42,54.0
12.048889,44.219167,52.0
12.4025,44.095833,51.0
12.224722,43.9275,85.0
12.553333,44.0625,53.0
12.6275,43.932778,75.0
12.42,44.013056,63.0
12.401667,43.908056,61.0
10.45361,43.86889,68.0
11.00694,43.91611,55.0
11.323889,43.789167,66.0
11.09778,43.79306,60.0
10.401667,43.738889,46.0
10.881667,43.247778,77.0
10.771667,43.713056,39.0
11.88889,43.46111,57.0
11.90167,43.66028,75.0
11.09417,42.67056,79.0
12.57639,43.35278,58.0
12.205833,43.133056,62.0
12.36611,43.10306,60.0
12.46806,43.06694,72.0
12.52194,42.53417,58.0
12.136667,42.737222,61.0
12.62361,42.58194,66.0
12.91889,43.89333,46.0
12.63639,43.73056,74.0
13.50861,43.61167,68.0
13.34194,43.59889,49.0
12.95222,43.46806,80.0
13.67472,43.33556,76.0
13.42861,43.285,66.0
13.61944,42.84861,60.0
13.33667,42.90056,94.0
11.87643,42.736572,67.0
12.109196,42.42212,48.0
12.962063,42.572591,73.0
12.857794,42.404687,53.0
11.908954,42.157856,84.0
11.900004,42.160966,71.0
11.802485,42.091593,64.0
11.79834,42.099296,59.0
11.742706,42.159983,62.0
11.806455,42.086777,58.0
13.004056,41.730447,43.0
12.266327,41.889451,66.0
12.506947,41.932892,41.0
12.568652,41.857716,49.0
12.65848,41.929474,46.0
12.541618,41.886019,49.0
12.533667,41.947654,45.0
12.447588,41.906356,38.0
12.475387,41.893971,41.0
12.34559,41.874783,57.0
13.57049,41.223084,61.0
12.913043,41.464027,48.0
13.348977,41.639609,73.0
13.348977,41.639609,61.0
14.10361,41.77944,62.0
13.38306,42.36417,63.0
13.48944,42.33,65.0
13.35083,42.41278,79.0
13.70944,42.65722,56.0
14.06778,42.35806,74.0
14.1975,42.45194,46.0
14.23472,42.45639,50.0
14.02889,42.11944,79.0
14.13778,42.34611,56.0
14.27917,42.42139,54.0
